dataset_id,species,species_original,species.new,corrected,comment,checked
alston_2021c,Euclea_divinorum,Euclea_divinorum,Euclea_divinorum,0,NA,1
alston_2021c,Evolvulus_alsinoides,Evolvulus_alsinoides,Evolvulus_alsinoides,0,NA,1
alston_2021c,Felicia_muricata,Felicia_muricata,Felicia_muricata,0,NA,1
alston_2021c,Grewia_kakothamnos,Grewia_kakothamnos,Grewia_kakothamnos,0,NA,1
alston_2021c,Gutenbergia_cordifolia,Gutenbergia_cordifolia,Gutenbergia_cordifolia,0,NA,1
alston_2021c,Harpachne_schimperi,Harpachne_schimperi,Harpachne_schimperi,0,NA,1
alston_2021c,Helichrysum_glumaceum,Helichrysum_glumaceum,Helichrysum_glumaceum,0,NA,1
alston_2021c,Heliotropium_strigosum,Heliotropium_strigosum,Heliotropium_strigosum,0,NA,1
alston_2021c,Heteropogon_contortus,Heteropogon_contortus,Heteropogon_contortus,0,NA,1
alston_2021c,Hibiscus_aponeurus,Hibiscus_aponeurus,Hibiscus_aponeurus,0,NA,1
alston_2021c,Hibiscus_calyphyllus,Hibiscus_calyphyllus,Hibiscus_calyphyllus,0,NA,1
alston_2021c,Hibiscus_flavifolius,Hibiscus_flavifolius,Hibiscus_flavifolius,0,NA,1
alston_2021c,Hibiscus_meyeri,Hibiscus_meyeri,Hibiscus_meyeri,0,NA,1
alston_2021c,Hibiscus_micranthus,Hibiscus_micranthus,Hibiscus_micranthus,0,NA,1
alston_2021c,Hirpicium_diffusum,Hirpicium_diffusum,Hirpicium_diffusum,0,NA,1
alston_2021c,Hypoestes_forskahlii,Hypoestes_forskahlii,Hypoestes_forskahlii,0,NA,1
alston_2021c,Indigofera_arrecta,Indigofera_arrecta,Indigofera_arrecta,0,NA,1
alston_2021c,Indigofera_hochstetteri,Indigofera_hochstetteri,Indigofera_hochstetteri,0,NA,1
alston_2021c,Indigofera_lumped,Indigofera_lumped,Indigofera_lumped,0,NA,1
alston_2021c,Indigofera_small,Indigofera_small,Indigofera_small,0,NA,1
alston_2021c,Indigofera_volkensii,Indigofera_volkensii,Indigofera_volkensii,0,NA,1
alston_2021c,Ipomoea_kituensis,Ipomoea_kituensis,Ipomoea_kituensis,0,NA,1
alston_2021c,Ipomoea_obscura,Ipomoea_obscura,Ipomoea_obscura,0,NA,1
alston_2021c,Ipomoea_polymorpha,Ipomoea_polymorpha,Ipomoea_polymorpha,0,NA,1
alston_2021c,Ipomoea_sinensis,Ipomoea_sinensis,Ipomoea_sinensis,0,NA,1
alston_2021c,Ipomoea_wightii,Ipomoea_wightii,Ipomoea_wightii,0,NA,1
alston_2021c,Jasminum_fluminense,Jasminum_fluminense,Jasminum_fluminense,0,NA,1
alston_2021c,Justicia_anagalloides,Justicia_anagalloides,Justicia_anagalloides,0,NA,1
alston_2021c,Justicia_diclipteroides,Justicia_diclipteroides,Justicia_diclipteroides,0,NA,1
alston_2021c,Justicia_odora,Justicia_odora,Justicia_odora,0,NA,1
alston_2021c,Kalanchoe,Kalanchoe,Kalanchoe,0,NA,1
alston_2021c,Kalanchoe_citrina,Kalanchoe_citrina,Kalanchoe_citrina,0,NA,1
alston_2021c,Kalanchoe_densiflora,Kalanchoe_densiflora,Kalanchoe_densiflora,0,NA,1
alston_2021c,Kalanchoe_lanceolata,Kalanchoe_lanceolata,Kalanchoe_lanceolata,0,NA,1
alston_2021c,Kleinia_squarrosa,Kleinia_squarrosa,Kleinia_squarrosa,0,NA,1
alston_2021c,Kyllinga_nervosa,Kyllinga_nervosa,Kyllinga_nervosa,0,NA,1
alston_2021c,Leptothrium_senegalense,Leptothrium_senegalense,Leptothrium_senegalense,0,NA,1
alston_2021c,Leucas,Leucas,Leucas,0,NA,1
alston_2021c,Leucas_bracteosa,Leucas_bracteosa,Leucas_bracteosa,0,NA,1
alston_2021c,Leucas_glabrata,Leucas_glabrata,Leucas_glabrata,0,NA,1
