"park","plot","visit","quadrat","genus_species","occurrence"
"Nitmiluk","1","T2","28","Mnesithea formosa",3
"Nitmiluk","1","T2","28","Sorghum timorense",20
"Nitmiluk","1","T2","28","Tribulopis pentandra",1
"Nitmiluk","1","T2","29","Boerhavia dominii",1
"Nitmiluk","1","T2","29","Desmodium glareosum",1
"Nitmiluk","1","T2","29","Mnesithea formosa",3
"Nitmiluk","1","T2","29","Sorghum timorense",30
"Nitmiluk","1","T2","29","Trianthema rhynchocalyptrum",1
"Nitmiluk","1","T2","30","Desmodium glareosum",1
"Nitmiluk","1","T2","30","Eriachne ciliata",1
"Nitmiluk","1","T2","30","Fimbristylis simulans",1
"Nitmiluk","1","T2","30","Indigofera linnaei",1
"Nitmiluk","1","T2","30","Mnesithea formosa",3
"Nitmiluk","1","T2","30","Sorghum timorense",15
"Nitmiluk","1","T2","30","Trianthema rhynchocalyptrum",5
"Nitmiluk","1","T2","31","Buchnera asperata",1
"Nitmiluk","1","T2","31","Galactia tenuiflora",5
"Nitmiluk","1","T2","31","Heliotropium ventricosum",1
"Nitmiluk","1","T2","31","Heteropogon contortus",15
"Nitmiluk","1","T2","31","Mnesithea formosa",3
"Nitmiluk","1","T2","31","Sorghum timorense",15
"Nitmiluk","1","T2","32","Heteropogon contortus",10
"Nitmiluk","1","T2","32","Indigofera linnaei",1
"Nitmiluk","1","T2","32","Sorghum timorense",10
"Nitmiluk","1","T2","33","Boerhavia dominii",1
"Nitmiluk","1","T2","33","Buchnera asperata",1
"Nitmiluk","1","T2","33","Heteropogon contortus",10
"Nitmiluk","1","T2","33","Polygala eriocephala",1
"Nitmiluk","1","T2","33","Sorghum timorense",5
"Nitmiluk","1","T2","34","Boerhavia dominii",1
"Nitmiluk","1","T2","34","Sorghum timorense",25
"Nitmiluk","1","T2","35","Buchnera asperata",1
"Nitmiluk","1","T2","35","Euphorbia armstrongiana",2
"Nitmiluk","1","T2","35","Heteropogon contortus",15
"Nitmiluk","1","T2","35","Mnesithea formosa",1
"Nitmiluk","1","T2","35","Sorghum timorense",5
"Nitmiluk","1","T2","36","Cleome tetrandra ",1
"Nitmiluk","1","T2","36","Euphorbia armstrongiana",2
"Nitmiluk","1","T2","36","Heteropogon contortus",5
"Nitmiluk","1","T2","36","Indigofera linnaei",1
"Nitmiluk","1","T2","36","Sorghum timorense",5
"Nitmiluk","1","T2","37","Crotalaria montana",1
"Nitmiluk","1","T2","37","Heliotropium ventricosum",1
"Nitmiluk","1","T2","37","Mnesithea formosa",1
"Nitmiluk","1","T2","37","Sorghum timorense",10
"Nitmiluk","1","T2","37","Trianthema rhynchocalyptrum",5
"Nitmiluk","1","T2","38","Sorghum timorense",10
"Nitmiluk","1","T2","39","Euphorbia armstrongiana",1
"Nitmiluk","1","T2","39","Heteropogon contortus",10
"Nitmiluk","1","T2","39","Indigofera linnaei",1
"Nitmiluk","1","T2","39","Sorghum timorense",10
"Nitmiluk","1","T2","40","Crotalaria montana",1
"Nitmiluk","1","T2","40","Heliotropium ventricosum",1
"Nitmiluk","1","T2","40","Indigofera linnaei",1
"Nitmiluk","1","T2","40","Polycarpaea corymbosa",1
"Nitmiluk","1","T2","40","Sorghum timorense",15
"Nitmiluk","1","T3","1","Trianthema rhynchocalyptrum",5
"Nitmiluk","1","T3","2","Sorghum timorense",5
"Nitmiluk","1","T3","3","Eriachne obtusa",5
"Nitmiluk","1","T3","4","Sehima nervosum",1
"Nitmiluk","1","T3","4","Sorghum timorense",5
"Nitmiluk","1","T3","5","Crotalaria medicaginea",1
"Nitmiluk","1","T3","5","Sehima nervosum",5
"Nitmiluk","1","T3","5","Tribulopis pentandra",1
"Nitmiluk","1","T3","6","Euphorbia armstrongiana",1
"Nitmiluk","1","T3","6","Evolvulus alsinoides",1
"Nitmiluk","1","T3","6","Sehima nervosum",5
"Nitmiluk","1","T3","7","Boerhavia dominii",1
"Nitmiluk","1","T3","7","Euphorbia armstrongiana",1
"Nitmiluk","1","T3","7","Sehima nervosum",30
"Nitmiluk","1","T3","7","Sorghum timorense",5
"Nitmiluk","1","T3","8","Sorghum timorense",5
"Nitmiluk","1","T3","9","Sorghum timorense",5
"Nitmiluk","1","T3","10","Trianthema rhynchocalyptrum",5
"Nitmiluk","1","T3","10","Tribulopis pentandra",1
"Nitmiluk","1","T3","11","Desmodium glareosum",1
"Nitmiluk","1","T3","11","Eriachne obtusa",5
"Nitmiluk","1","T3","12","Boerhavia dominii",1
"Nitmiluk","1","T3","12","Murdannia graminea",1
"Nitmiluk","1","T3","13","no vegetation",0
"Nitmiluk","1","T3","14","no vegetation",0
"Nitmiluk","1","T3","15","no vegetation",0
"Nitmiluk","1","T3","16","Boerhavia dominii",1
"Nitmiluk","1","T3","16","Sorghum timorense",5
"Nitmiluk","1","T3","17","Boerhavia dominii",1
"Nitmiluk","1","T3","17","Desmodium glareosum",1
"Nitmiluk","1","T3","18","Sehima nervosum",5
"Nitmiluk","1","T3","19","no vegetation",0
"Nitmiluk","1","T3","20","no vegetation",0
"Nitmiluk","1","T3","21","no vegetation",0
"Nitmiluk","1","T3","22","Boerhavia dominii",1
"Nitmiluk","1","T3","22","Themeda triandra",5
"Nitmiluk","1","T3","23","Boerhavia dominii",1
"Nitmiluk","1","T3","23","Sorghum timorense",1
"Nitmiluk","1","T3","24","Boerhavia dominii",5
"Nitmiluk","1","T3","25","no vegetation",0
"Nitmiluk","1","T3","26","Boerhavia dominii",1
"Nitmiluk","1","T3","26","Marsdenia viridiflora subsp. tropica",1
"Nitmiluk","1","T3","27","no vegetation",0
"Nitmiluk","1","T3","28","Boerhavia dominii",1
"Nitmiluk","1","T3","28","Trianthema rhynchocalyptrum",5
"Nitmiluk","1","T3","29","Boerhavia dominii",1
"Nitmiluk","1","T3","29","Trianthema rhynchocalyptrum",5
"Nitmiluk","1","T3","30","Trianthema rhynchocalyptrum",5
"Nitmiluk","1","T3","31","Crotalaria montana",1
"Nitmiluk","1","T3","31","Euphorbia armstrongiana",1
"Nitmiluk","1","T3","31","Sorghum timorense",1
"Nitmiluk","1","T3","32","no vegetation",0
"Nitmiluk","1","T3","33","Sorghum timorense",5
"Nitmiluk","1","T3","34","Euphorbia armstrongiana",1
"Nitmiluk","1","T3","34","Sorghum timorense",5
"Nitmiluk","1","T3","35","no vegetation",0
"Nitmiluk","1","T3","36","no vegetation",0
"Nitmiluk","1","T3","37","Trianthema rhynchocalyptrum",5
"Nitmiluk","1","T3","38","no vegetation",0
"Nitmiluk","1","T3","39","no vegetation",0
"Nitmiluk","1","T3","40","Sorghum timorense",5
"Nitmiluk","1","T4","1","Crotalaria medicaginea",15
"Nitmiluk","1","T4","1","Sorghum intrans",60
"Nitmiluk","1","T4","2","Bonamia media var. media",1
"Nitmiluk","1","T4","2","Buchnera linearis",1
"Nitmiluk","1","T4","2","Crotalaria medicaginea",5
"Nitmiluk","1","T4","2","Heliotropium ventricosum",1
"Nitmiluk","1","T4","2","Sorghum intrans",60
"Nitmiluk","1","T4","3","Crotalaria medicaginea",5
"Nitmiluk","1","T4","3","Eriachne obtusa",1
"Nitmiluk","1","T4","3","Heliotropium ventricosum",1
"Nitmiluk","1","T4","3","Indigofera colutea",1
"Nitmiluk","1","T4","3","Ipomoea eriocarpa",1
"Nitmiluk","1","T4","3","Sorghum intrans",50
"Nitmiluk","1","T4","3","Tacca leontopetaloides",1
"Nitmiluk","1","T4","3","Tacca leontopetaloides",1
"Nitmiluk","1","T4","4","Boerhavia dominii",1
"Nitmiluk","1","T4","4","Buchnera asperata",1
"Nitmiluk","1","T4","4","Crotalaria medicaginea",5
"Nitmiluk","1","T4","4","Heliotropium ventricosum",1
"Nitmiluk","1","T4","4","Sehima nervosum",5
"Nitmiluk","1","T4","4","Sorghum intrans",50
"Nitmiluk","1","T4","5","Buchnera asperata",1
"Nitmiluk","1","T4","5","Crotalaria medicaginea",5
"Nitmiluk","1","T4","5","Indigofera colutea",1
"Nitmiluk","1","T4","5","Portulaca bicolor",1
"Nitmiluk","1","T4","5","Sehima nervosum",1
"Nitmiluk","1","T4","5","Sorghum intrans",50
"Nitmiluk","1","T4","5","Vigna lanceolata",1
"Nitmiluk","1","T4","6","Evolvulus alsinoides",1
"Nitmiluk","1","T4","6","Heteropogon contortus",3
"Nitmiluk","1","T4","6","Mnesithea formosa",1
"Nitmiluk","1","T4","6","Sehima nervosum",1
"Nitmiluk","1","T4","6","Sorghum intrans",45
"Nitmiluk","1","T4","6","Themeda triandra",1
"Nitmiluk","1","T4","7","Buchnera asperata",1
"Nitmiluk","1","T4","7","Euphorbia armstrongiana",1
"Nitmiluk","1","T4","7","Heliotropium ventricosum",1
"Nitmiluk","1","T4","7","Heteropogon contortus",2
"Nitmiluk","1","T4","7","Sehima nervosum",2
"Nitmiluk","1","T4","7","Sorghum intrans",40
"Nitmiluk","1","T4","7","Themeda triandra",2
"Nitmiluk","1","T4","8","Heteropogon contortus",2
"Nitmiluk","1","T4","8","Ipomoea eriocarpa",1
"Nitmiluk","1","T4","8","Mnesithea formosa",2
"Nitmiluk","1","T4","8","Sorghum intrans",45
"Nitmiluk","1","T4","8","Trianthema rhynchocalyptrum",1
"Nitmiluk","1","T4","9","Crotalaria medicaginea",5
"Nitmiluk","1","T4","9","Mnesithea formosa",2
"Nitmiluk","1","T4","9","Sorghum intrans",40
"Nitmiluk","1","T4","9","Trianthema rhynchocalyptrum",1
"Nitmiluk","1","T4","9","Vigna lanceolata",2
"Nitmiluk","1","T4","10","Chamaecrista mimosoides",1
"Nitmiluk","1","T4","10","Crotalaria medicaginea",2
"Nitmiluk","1","T4","10","Desmodium glareosum",1
"Nitmiluk","1","T4","10","Mnesithea formosa",1
"Nitmiluk","1","T4","10","Sorghum intrans",45
"Nitmiluk","1","T4","10","Trianthema rhynchocalyptrum",1
"Nitmiluk","1","T4","11","Boerhavia dominii",1
"Nitmiluk","1","T4","11","Desmodium glareosum",2
"Nitmiluk","1","T4","11","Eriachne obtusa",1
