"park","plot","visit","genus_species","tag_no","height_m","fire_scar","dbh1","dbh2","dbh3","dbh4","dbh5","dbh6","dbh7","dbh8","dbh9","is_the_tree_dead"
"Kakadu","1","T3","Pandanus spiralis","66",NA,"1",13.3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Timonius timon","67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Timonius timon","68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Sesbania formosa","69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Sesbania formosa","70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Sesbania formosa","71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Sesbania formosa","72",NA,NA,24.1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Sesbania formosa","73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Timonius timon","74",7,"1",9.6,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Sesbania formosa","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Sesbania formosa","76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Terminalia microcarpa","77",14,"1",25.9,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Timonius timon","78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Glochidion sumatranum","79",13,NA,17.1,9.2,5.5,9.5,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Timonius timon","80",12,"1",20.9,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Timonius timon","81",12,NA,25.7,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Sesbania formosa","82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Livistona mariae subsp. mariae","83",NA,"1",31.6,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Livistona mariae subsp. mariae","84",16,"1",35.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Livistona mariae subsp. mariae","85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Livistona mariae subsp. mariae","86",NA,NA,28.3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Livistona mariae subsp. mariae","87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Terminalia platyptera","88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T3","Timonius timon","89",6.5,"2",6.3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Syzygium nervosum","90",7,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T3","Terminalia microcarpa","91",4,"1",6,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Sesbania formosa","32",5,"3",11.5,10.3,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Pandanus spiralis","34",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T5","Glochidion sumatranum","35",10,"1",26,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
