extracted from matthews_2016 DataS1 excel table. Piney Ck 12-site data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Year,Station,Ichthyomyzon gagei,Lampetra aepyptera,Lethenteron appendix,Campostoma spp.,Chrosomus erythrogaster,Cyprinella galactura,Erimystax dissimilis,Hybopsis amblops,Luxilus chrysocephalus,Luxilus pilsbryi,Nocomis c.f. biguttatus,Notemigonus crysoleucas,Notropis boops,Notropis greenei,Notropis nubilus,Notropis ozarcanus,Notropis percobromus,Notropis sabinae,Notropis telescopus,Pimephales notatus,Pimeplales promelas,Semotilus atromaculatus,Carpiodes carpio,Erimyon oblongus,Hypentelium nigricans,Moxostoma duquesnei,Moxostoma erythrurum,Ameiurus natalis,Noturus albater,Noturus exilis,Fundulus catenatus,Fundulus olivaceus,Gambusia affinis,Labidesthes sicculus,Ambloplites constellatus,Lepomis cyanellus,Lepomis macrochirus,Lepomis megalotis,Lepomis microlophus,Micropterus dolomieu,Microperus punctulatus,Microperus salmoides,Etheostoma blennioides,Etheostoma caeruleum,Etheostoma spectabile,Etheostoma zonale,Cottus carolinae,Cottus immaculatus
apr,1983,p10,0,0,0,44,0,0,0,0,1,46,4,0,0,0,0,0,0,0,3,4,2,6,0,5,0,0,0,0,0,2,6,1,0,0,0,7,21,1,0,0,0,0,0,15,94,0,11,0
apr,1983,m1,0,0,0,11,0,42,0,0,0,176,9,0,1,0,9,0,1,0,13,3,0,0,0,0,0,0,0,0,0,0,21,7,0,0,0,0,0,0,0,0,0,0,0,15,27,0,8,1
apr,1983,m2,0,0,0,8,0,21,0,0,1,17,0,0,13,0,3,0,0,2,14,15,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,8,30,0,2,0
apr,1983,m3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,36,0,13,0
sum,1983,p1,0,0,0,12,0,54,0,11,13,560,6,0,6,14,59,0,12,0,7,8,0,0,0,0,0,0,0,0,2,0,0,12,0,2,0,0,0,0,0,1,0,0,7,30,0,4,2,3
sum,1983,p2,0,0,0,87,0,33,0,13,3,628,22,0,1,0,218,0,19,0,117,7,0,0,1,0,0,3,2,0,2,0,17,3,0,0,0,0,0,0,0,3,0,0,7,22,0,5,2,38
sum,1983,p4,0,0,0,4,0,59,0,57,44,139,9,0,10,0,23,0,3,0,241,5,0,0,0,0,0,32,27,0,0,2,17,22,0,3,0,0,0,17,0,3,1,0,3,13,0,1,4,1
sum,1983,p5,0,0,0,5,0,37,0,3,40,50,25,0,2,0,17,0,3,0,156,30,0,0,0,0,2,0,0,1,0,0,63,80,0,0,10,0,0,0,0,4,0,0,3,10,3,15,5,0
sum,1983,p6,0,0,0,75,0,60,0,42,15,44,5,0,96,0,22,0,0,0,245,47,0,0,0,0,3,1,0,2,0,6,111,64,0,0,0,0,1,22,0,1,0,0,1,54,6,4,0,0
sum,1983,p7,0,0,0,978,0,6,0,2,0,1,0,0,5,0,0,0,0,1,13,103,1,0,0,17,0,2,4,0,0,0,345,263,0,0,0,6,2,29,0,0,0,0,0,0,7,0,0,0
sum,1983,p8,0,0,0,243,0,94,0,6,11,64,6,0,52,0,203,0,0,0,111,66,0,0,0,9,0,14,7,0,0,0,93,57,0,0,0,4,1,17,0,2,0,0,0,2,23,0,0,0
sum,1983,p9,0,0,0,39,0,0,0,1,0,68,34,0,0,0,15,0,0,0,0,7,0,9,0,5,0,5,0,0,0,1,28,26,0,0,0,3,22,16,0,0,0,1,0,3,90,0,0,0
sum,1983,p10,0,0,0,91,0,1,0,20,0,107,21,0,1,0,63,0,0,0,1,1,0,17,0,3,0,0,0,0,0,1,13,18,0,0,0,0,5,3,0,0,0,0,0,4,33,0,8,0
sum,1983,m1,0,0,0,70,0,32,0,11,16,258,27,0,0,0,94,0,2,1,154,11,0,0,2,0,4,4,13,0,14,1,48,13,0,0,0,0,0,2,0,3,0,0,1,11,5,3,5,33
sum,1983,m2,0,0,0,108,0,37,0,0,0,0,0,0,0,0,0,0,0,103,0,13,1,0,0,2,0,0,1,0,0,0,278,25,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0
sum,1983,m3,0,0,0,262,0,52,0,0,0,1,1,0,1,0,0,0,0,70,1,268,1,0,0,4,0,0,1,8,0,0,497,0,0,0,0,4,2,0,0,0,0,0,0,0,16,0,0,0
win,1994,p1,0,1,0,185,0,50,0,2,0,1063,1,0,11,21,212,0,42,1,76,3,0,0,0,0,10,1,0,0,0,0,3,3,0,3,2,3,0,1,0,0,0,0,0,43,4,0,3,10
win,1994,p2,0,0,0,8,0,16,0,10,3,107,4,0,11,4,36,0,3,0,25,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,97,9,4,3,4
win,1994,p4,0,0,0,169,0,57,0,16,13,60,0,0,203,17,324,0,8,0,350,103,0,0,0,0,5,1,0,0,1,0,56,2,0,2,0,0,0,8,0,0,1,0,4,35,10,3,3,5
win,1994,p5,0,1,0,195,0,39,0,100,19,22,1,0,89,0,81,0,1,0,47,186,0,0,0,0,3,4,0,0,0,2,102,2,0,0,0,0,2,20,0,0,0,0,0,18,31,3,1,5
win,1994,p6,0,1,0,100,0,25,0,88,0,79,0,0,431,0,408,0,2,0,130,44,0,0,0,0,3,2,1,0,0,3,86,3,0,9,0,0,3,3,0,0,0,0,0,54,23,0,1,0
win,1994,p7,0,0,0,324,0,81,0,5,0,22,0,0,136,0,5,0,0,0,35,36,0,6,0,0,4,6,9,0,0,3,65,33,1,0,0,6,0,12,0,0,0,0,2,0,126,0,6,0
win,1994,p8,0,0,0,92,0,155,0,4,0,1,0,0,278,0,99,0,0,0,22,178,0,0,0,0,0,1,0,0,0,5,66,8,0,0,0,0,2,6,0,0,0,3,1,28,52,0,0,0
win,1994,p9,0,1,0,135,3,0,0,2,4,189,26,0,0,0,81,0,0,0,2,6,0,2,0,0,2,0,0,0,0,0,12,7,0,0,0,1,1,2,0,0,0,0,0,27,107,0,3,0
win,1994,p10,0,1,0,11,13,4,0,0,2,26,4,0,4,0,2,0,0,0,17,0,0,1,0,0,2,10,0,0,0,0,16,6,0,0,2,9,0,9,0,2,0,0,1,12,40,0,3,0
win,1994,m1,0,3,0,45,0,77,0,6,6,196,4,0,8,0,33,0,8,0,77,11,0,0,0,0,2,11,1,0,0,0,19,8,0,0,0,0,2,0,0,2,0,0,1,3,0,1,3,1
win,1994,m2,0,0,0,24,0,268,0,0,0,12,0,0,62,0,18,0,0,13,30,63,0,1,0,0,3,1,0,0,0,9,160,23,2,0,0,0,5,7,0,0,0,2,0,0,19,3,3,0
win,1994,m3,0,0,0,27,3,238,0,0,0,0,0,0,426,0,0,0,0,0,0,301,0,30,0,3,1,0,0,0,0,0,5,11,5,0,0,0,2,100,0,0,0,0,0,0,56,0,7,0
apr,1995,p1,3,0,0,33,0,70,0,2,1,615,0,0,5,14,149,0,3,0,5,1,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,1,0,0,0,88,5,3,6,19
apr,1995,p2,0,0,0,10,0,21,0,6,0,97,0,0,19,5,75,0,3,0,19,0,0,0,0,0,0,0,0,0,1,0,16,9,0,0,0,0,0,0,0,0,0,0,1,52,12,1,2,2
apr,1995,p4,0,0,0,91,0,84,0,21,18,32,0,0,84,16,193,0,9,0,131,18,4,0,0,0,0,0,0,0,1,1,62,13,0,0,0,0,0,1,0,0,0,0,1,28,17,0,24,1
apr,1995,p5,0,0,0,83,0,80,0,34,18,10,0,0,155,0,174,0,0,0,19,91,0,2,0,0,1,0,1,0,0,0,78,8,0,0,0,0,2,12,1,0,0,0,0,53,76,6,6,2
apr,1995,p6,0,0,0,29,0,195,0,14,0,58,0,0,426,0,347,0,1,0,117,99,0,0,0,0,0,2,0,0,0,0,141,29,2,1,0,0,0,47,0,1,0,0,0,21,41,2,1,0
apr,1995,p7,0,0,0,50,0,13,0,0,0,12,0,0,55,0,1,0,0,0,0,38,0,5,0,1,0,2,0,0,0,1,43,127,2,0,0,1,1,26,0,0,0,2,0,3,38,0,8,0
