YEAR,SQUARE  ,SITE_ID,SAMPLE_DATE,WATER_WIDTH,DEPTH1,DEPTH2,DEPTH3,SURF_VEL_CAT,SAMPLING_TIME,METHOD,ROCK_PAVEMT,BOULDER_COBBLE,PEBBLE_GRAVEL,SAND,SILT_CLAY,LC07,LC07_NUM,EZ_DESC_07,COUNTRY,COUNTY07
2007,BKRDLI,1,26-Jul-07,1.55,28,24,18,2,4,1,0,10,50,0,40,30s,38,Intermediate uplands and Islands (Scotland),SCO,Argyll & Bute
2007,VIBTBA,1,27-Jul-07,1.3,14,12,4,2,4,1,60,75,25,0,0,30s,38,Intermediate uplands and Islands (Scotland),SCO,Argyll & Bute
2007,QFVTHZ,1,07-Sep-07,2,12,17,9,3,,1,5,75,25,0,0,29s,37,Intermediate uplands and Islands (Scotland),SCO,Highland
2007,KFDEHM,1,08-Sep-07,2.65,17,17,11,2,,1,0,90,10,0,0,24s,32,True uplands (Scotland),SCO,Highland
2007,VKOMTT,1,12-Jul-07,4,15,18,18,2,4,1,30,90,10,0,0,29s,37,Intermediate uplands and Islands (Scotland),SCO,Highland
2007,ZLXWKT,1,10-Jul-07,0.8,10,17,12,2,4,1,45,90,10,0,0,24s,32,True uplands (Scotland),SCO,Highland
2007,GNCHSI,2,23-Jun-07,2,20,25,16,4,4,1,50,100,0,0,0,22s,30,True uplands (Scotland),SCO,Perth & Kinross
2007,MAWOAV,1,04-Sep-07,2.2,8,18,12,2,,1,0,85,15,0,0,30s,38,Intermediate uplands and Islands (Scotland),SCO,Highland
2007,DZKTFU,1,10-Jul-07,0.55,35,25,90,1,4,16,0,0,1,0,99,21s,29,True uplands (Scotland),SCO,Highland
2007,CTERRY,1,14-Jul-07,2.1,30,28,18,1,4,1,75,20,80,0,0,29s,37,Intermediate uplands and Islands (Scotland),SCO,Highland
2007,EXSYAA,1,22-Sep-07,1.5,10,20,15,3,,1,0,60,40,0,0,23s,31,True uplands (Scotland),SCO,Perth & Kinross
2007,QOZLLL,1,03-Sep-07,0.1,15,30,10,2,4,1,0,75,25,0,0,23s,31,True uplands (Scotland),SCO,Angus
2007,VDTMEB,1,06-Sep-07,0.9,5,10,10,3,4,1,0,50,50,0,0,25s,33,Lowlands (Scotland),SCO,Angus
2007,UKWMMX,1,29-May-07,0.2,0.5,2.5,0.5,2,4,1,0,0,0,0,100,25s,33,Lowlands (Scotland),SCO,Aberdeenshire
2007,ZJGHZJ,1,02-Aug-07,3,5,10,10,2,4,1,0,75,25,0,0,24s,32,True uplands (Scotland),SCO,Highland
2007,HAWCOO,1,01-Aug-07,4,25,30,25,4,4,1,40,100,0,0,0,24s,32,True uplands (Scotland),SCO,Highland
