Date	Site	Exposure	Transect #	Tidal Height	Acrosiphonia spp	Ahnfeltia pacifica	Alaria marginata	Analipus japonicus	Chondracanthus exasperatus	Cladophora spp	Codium fragile	Copamania spp	Corallina vancouveriensis	Egregia menziesii	Encrusting coralline algae	Endocladia muricata	Enteromorpha intestinalis	Filamentous rhodophyta	Fucus spp	Gastroclonium coulteri	Halosaccion glandiforme	Hedophyllum sessile	Laminaria setchelli	Leathesia difformis	Mastocarpus papillatus	Mazzaella splendens	Microcladia borealis	Microcladia coulteri	Nemalion spp	Neorhodomela larix	Odonthalia floccosa	Pelvitiopsis spp	Petrocelis middendorfii	Phyllospadix scouleri	Porphyra spp	Prasiola spp	Prionitis spp	Sargassum muticum	Scytosiphon lomentaria	Ulva spp	Bare rock
"2-Aug-97"	"Wizard"	"Exposed"	"5"	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"6"	0.5	0	0	0	0	0	0	0	0	0.5	90	15.5	0	0	0	0	0	0	0	0	0	0	5	0	60	0	0	0	0	0	0	0	0	90	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"6"	1	0	0	0	0	0	0.5	0	0	0.5	40	40	0	0	5	52	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
"2-Aug-97"	"Wizard"	"Exposed"	"6"	1.5	0	0	0	0	0	10	0	0	10	0	5	0	0	30	27	0	20	0	0	0	10	0	0	0	0	0	0	0	5	0	0	0	0	0	0	20	0
"2-Aug-97"	"Wizard"	"Exposed"	"6"	2	0	0	0	0	0	0	0	0	0	0	5	0	0	5	89	0	5	0	0	0	60	0	0	0	0	0	0	0	35	0	5	0	0	0	0	0.5	0
"2-Aug-97"	"Wizard"	"Exposed"	"6"	2.5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"6"	3	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	43	0	0	0	0	0	0.5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"6"	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"7"	0.5	0	0	5	0	0	0	0	0	0	58	50	0	0	5	0	0	0	0	0	0	0	55	0	10	0	0	0	0	0	0	0	0	10	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"7"	1	0	0	5	0	0	0	0	0	20	33	25.5	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	10	0	0	0	80	0	0	0	0
